Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Flower_Type,Flower_Type_Index,features,scaledFeatures,rawPrediction,probability,prediction
4.4,2.9,1.4,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[4.4,2.9,1.4,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[5.0010171654063305,6.968190455239197,0.7920150679648652,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-79.47072894873867,-33.6393926737438,113.11012162248248]}","{""vectorType"":""dense"",""length"":3,""values"":[2.3078058860519703e-84,1.851380645087324e-64,1]}",2
4.5,2.3,1.3,0.3,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[4.5,2.3,1.3,0.3]}","{""vectorType"":""dense"",""length"":4,""values"":[5.114676646438292,5.526495878293156,0.735442563110232,0.391012614531182]}","{""vectorType"":""dense"",""length"":3,""values"":[-47.04386253042741,-5.127727392070199,52.1715899224976]}","{""vectorType"":""dense"",""length"":3,""values"":[8.15223105453467e-44,1.3038351154249712e-25,1]}",2
4.9,3.1,1.5,0.1,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[4.9,3.1,1.5,0.1]}","{""vectorType"":""dense"",""length"":4,""values"":[5.56931457056614,7.448755314221212,0.8485875728194985,0.1303375381770607]}","{""vectorType"":""dense"",""length"":3,""values"":[-87.52121972004588,-38.83267163699415,126.35389135704004]}","{""vectorType"":""dense"",""length"":3,""values"":[1.303825416331986e-93,1.8213239861593713e-72,1]}",2
5,3,1.6,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5,3,1.6,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[5.6829740515981015,7.208472884730204,0.9051600776741318,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-76.99038590691146,-30.92206184282783,107.91244774973931]}","{""vectorType"":""dense"",""length"":3,""values"":[4.985625519420681e-81,5.069190195385229e-61,1]}",2
5,3.2,1.2,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5,3.2,1.2,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[5.6829740515981015,7.689037743712219,0.6788700582555988,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-93.00873357864847,-42.656330433691906,135.66506401234045]}","{""vectorType"":""dense"",""length"":3,""values"":[4.877884922615119e-100,3.597513122710428e-78,1]}",2
5,3.3,1.4,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5,3.3,1.4,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[5.6829740515981015,7.929320173203225,0.7920150679648652,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-94.96796188979508,-45.6119260659063,140.57988795570145]}","{""vectorType"":""dense"",""length"":3,""values"":[5.045086164717633e-103,1.373797098691763e-81,1]}",2
5,3.4,1.5,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5,3.4,1.5,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[5.6829740515981015,8.169602602694232,0.8485875728194985,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-98.43967658212219,-49.29540636392511,147.73508294604733]}","{""vectorType"":""dense"",""length"":3,""values"":[1.2236588429913587e-107,2.6961604018502634e-86,1]}",2
5.1,3.5,1.4,0.3,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5.1,3.5,1.4,0.3]}","{""vectorType"":""dense"",""length"":4,""values"":[5.7966335326300635,8.409885032185239,0.7920150679648652,0.391012614531182]}","{""vectorType"":""dense"",""length"":3,""values"":[-100.90221767836385,-51.66329582901406,152.56551350737794]}","{""vectorType"":""dense"",""length"":3,""values"":[8.324592923536577e-111,2.0162995794324653e-89,1]}",2
5.3,3.7,1.5,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5.3,3.7,1.5,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[6.0239524946939875,8.890449891167252,0.8485875728194985,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-111.17249412615797,-59.6930380238296,170.8655321499876]}","{""vectorType"":""dense"",""length"":3,""values"":[3.2541794738694936e-123,7.407731251802606e-101,1]}",2
5.4,3.4,1.5,0.4,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5.4,3.4,1.5,0.4]}","{""vectorType"":""dense"",""length"":4,""values"":[6.13761197572595,8.169602602694232,0.8485875728194985,0.5213501527082428]}","{""vectorType"":""dense"",""length"":3,""values"":[-88.8915267475715,-41.861710547137605,130.7532372947091]}","{""vectorType"":""dense"",""length"":3,""values"":[4.069030990143796e-96,1.0821330425483868e-75,1]}",2
5.5,2.3,4,1.3,Iris-versicolor,1,"{""vectorType"":""dense"",""length"":4,""values"":[5.5,2.3,4,1.3]}","{""vectorType"":""dense"",""length"":4,""values"":[6.251271456757912,5.526495878293156,2.2629001941853293,1.694387996301789]}","{""vectorType"":""dense"",""length"":3,""values"":[34.1347333459086,42.23876023003584,-76.37349357594444]}","{""vectorType"":""dense"",""length"":3,""values"":[0.0003022279095822373,0.9996977720904177,3.070587023296591e-52]}",1
5.5,2.6,4.4,1.2,Iris-versicolor,1,"{""vectorType"":""dense"",""length"":4,""values"":[5.5,2.6,4.4,1.2]}","{""vectorType"":""dense"",""length"":4,""values"":[6.251271456757912,6.247343166766178,2.4891902136038624,1.564050458124728]}","{""vectorType"":""dense"",""length"":3,""values"":[21.937857850490353,30.090331581100166,-52.028189431590526]}","{""vectorType"":""dense"",""length"":3,""values"":[0.0002879390560587247,0.9997120609439413,2.1689742383581484e-36]}",1
5.5,3.5,1.3,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5.5,3.5,1.3,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[6.251271456757912,8.409885032185239,0.735442563110232,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-102.74920762384579,-50.43510194008182,153.18430956392768]}","{""vectorType"":""dense"",""length"":3,""values"":[7.071080008375973e-112,3.7086271676320155e-89,1]}",2
5.5,4.2,1.4,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5.5,4.2,1.4,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[6.251271456757912,10.091862038622287,0.7920150679648652,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-136.1261287572183,-80.58677202103996,216.71290077825836]}","{""vectorType"":""dense"",""length"":3,""values"":[5.807062130682153e-154,7.662890710608592e-130,1]}",2
5.6,3,4.1,1.3,Iris-versicolor,1,"{""vectorType"":""dense"",""length"":4,""values"":[5.6,3,4.1,1.3]}","{""vectorType"":""dense"",""length"":4,""values"":[6.3649309377898735,7.208472884730204,2.319472699039962,1.694387996301789]}","{""vectorType"":""dense"",""length"":3,""values"":[1.4977407713650734,13.032577892932729,-14.530318664297795]}","{""vectorType"":""dense"",""length"":3,""values"":[0.000009783170888016409,0.9999902168280415,1.0704881672193657e-12]}",1
5.7,2.6,3.5,1,Iris-versicolor,1,"{""vectorType"":""dense"",""length"":4,""values"":[5.7,2.6,3.5,1]}","{""vectorType"":""dense"",""length"":4,""values"":[6.478590418821836,6.247343166766178,1.9800376699121631,1.3033753817706069]}","{""vectorType"":""dense"",""length"":3,""values"":[3.216901938289375,21.778600235203335,-24.995502173492746]}","{""vectorType"":""dense"",""length"":3,""values"":[8.684740597294553e-9,0.9999999913152594,4.8558518055759154e-21]}",1
5.7,3.8,1.7,0.3,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5.7,3.8,1.7,0.3]}","{""vectorType"":""dense"",""length"":4,""values"":[6.478590418821836,9.13073232065826,0.9617325825287649,0.391012614531182]}","{""vectorType"":""dense"",""length"":3,""values"":[-106.87779040237135,-57.040810259940116,163.91860066231146]}","{""vectorType"":""dense"",""length"":3,""values"":[2.4809707340607856e-118,1.0928161684698039e-96,1]}",2
5.7,4.4,1.5,0.4,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5.7,4.4,1.5,0.4]}","{""vectorType"":""dense"",""length"":4,""values"":[6.478590418821836,10.5724268976043,0.8485875728194985,0.5213501527082428]}","{""vectorType"":""dense"",""length"":3,""values"":[-136.51375180616026,-83.13889695380466,219.6526487599649]}","{""vectorType"":""dense"",""length"":3,""values"":[2.0839994249427833e-155,3.157203165386214e-132,1]}",2
5.8,2.7,5.1,1.9,Iris-virginica,0,"{""vectorType"":""dense"",""length"":4,""values"":[5.8,2.7,5.1,1.9]}","{""vectorType"":""dense"",""length"":4,""values"":[6.592249899853798,6.4876255962571845,2.8851977475862944,2.476413225364153]}","{""vectorType"":""dense"",""length"":3,""values"":[52.820371719054585,46.39172945425841,-99.21210117331299]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9983879612621571,0.0016120387378428783,9.385021855106373e-67]}",0
6,2.2,5,1.5,Iris-virginica,0,"{""vectorType"":""dense"",""length"":4,""values"":[6,2.2,5,1.5]}","{""vectorType"":""dense"",""length"":4,""values"":[6.819568861917722,5.28621344880215,2.8286252427316616,1.9550630726559102]}","{""vectorType"":""dense"",""length"":3,""values"":[64.5318766246004,62.308155412545716,-126.84003203714613]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9023595510139278,0.09764044898607219,6.976148172622101e-84]}",0
6,2.9,4.5,1.5,Iris-versicolor,1,"{""vectorType"":""dense"",""length"":4,""values"":[6,2.9,4.5,1.5]}","{""vectorType"":""dense"",""length"":4,""values"":[6.819568861917722,6.968190455239197,2.545762718458495,1.9550630726559102]}","{""vectorType"":""dense"",""length"":3,""values"":[22.080037204145157,27.789177336761117,-49.8692145409063]}","{""vectorType"":""dense"",""length"":3,""values"":[0.003304565867384444,0.9966954341326155,1.870472824301893e-34]}",1
6.1,2.6,5.6,1.4,Iris-virginica,0,"{""vectorType"":""dense"",""length"":4,""values"":[6.1,2.6,5.6,1.4]}","{""vectorType"":""dense"",""length"":4,""values"":[6.933228342949684,6.247343166766178,3.168060271859461,1.8247255344788496]}","{""vectorType"":""dense"",""length"":3,""values"":[51.1157013768645,48.14961887525074,-99.26532025211523]}","{""vectorType"":""dense"",""length"":3,""values"":[0.951018111588244,0.048981888411756054,4.6616633979349213e-66]}",0
6.1,2.8,4,1.3,Iris-versicolor,1,"{""vectorType"":""dense"",""length"":4,""values"":[6.1,2.8,4,1.3]}","{""vectorType"":""dense"",""length"":4,""values"":[6.933228342949684,6.7279080257481905,2.2629001941853293,1.694387996301789]}","{""vectorType"":""dense"",""length"":3,""values"":[13.653299331344627,25.85486187405011,-39.5081612053947]}","{""vectorType"":""dense"",""length"":3,""values"":[0.000005022576216830011,0.9999949774237832,4.1039076073810915e-29]}",1
6.1,2.8,4.7,1.2,Iris-versicolor,1,"{""vectorType"":""dense"",""length"":4,""values"":[6.1,2.8,4.7,1.2]}","{""vectorType"":""dense"",""length"":4,""values"":[6.933228342949684,6.7279080257481905,2.658907728167762,1.564050458124728]}","{""vectorType"":""dense"",""length"":3,""values"":[20.946486199990495,29.124182113997364,-50.07066831398782]}","{""vectorType"":""dense"",""length"":3,""values"":[0.00028076944021727837,0.9997192305597828,4.036375024185615e-35]}",1
6.1,3,4.9,1.8,Iris-virginica,0,"{""vectorType"":""dense"",""length"":4,""values"":[6.1,3,4.9,1.8]}","{""vectorType"":""dense"",""length"":4,""values"":[6.933228342949684,7.208472884730204,2.7720527378770288,2.3460756871870925]}","{""vectorType"":""dense"",""length"":3,""values"":[33.76836361304057,32.7124560420615,-66.48081965510205]}","{""vectorType"":""dense"",""length"":3,""values"":[0.741907700375655,0.25809229962434505,2.1512098117444062e-44]}",0
6.3,2.5,4.9,1.5,Iris-versicolor,1,"{""vectorType"":""dense"",""length"":4,""values"":[6.3,2.5,4.9,1.5]}","{""vectorType"":""dense"",""length"":4,""values"":[7.160547305013608,6.007060737275171,2.7720527378770288,1.9550630726559102]}","{""vectorType"":""dense"",""length"":3,""values"":[50.286572699384195,51.18263908683683,-101.469211786221]}","{""vectorType"":""dense"",""length"":3,""values"":[0.28985952624623723,0.7101404737537629,3.593252852807647e-67]}",1
6.3,2.7,4.9,1.8,Iris-virginica,0,"{""vectorType"":""dense"",""length"":4,""values"":[6.3,2.7,4.9,1.8]}","{""vectorType"":""dense"",""length"":4,""values"":[7.160547305013608,6.4876255962571845,2.7720527378770288,2.3460756871870925]}","{""vectorType"":""dense"",""length"":3,""values"":[50.200823951221174,47.837526421241286,-98.03835037246246]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9139853985598807,0.08601460144011928,3.8149060499907516e-65]}",0
6.3,2.9,5.6,1.8,Iris-virginica,0,"{""vectorType"":""dense"",""length"":4,""values"":[6.3,2.9,5.6,1.8]}","{""vectorType"":""dense"",""length"":4,""values"":[7.160547305013608,6.968190455239197,3.168060271859461,2.3460756871870925]}","{""vectorType"":""dense"",""length"":3,""values"":[50.819826472469295,44.10998915422572,-94.92981562669505]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9987826214218206,0.0012173785781794983,5.0258054631256734e-64]}",0
6.3,3.3,4.7,1.6,Iris-versicolor,1,"{""vectorType"":""dense"",""length"":4,""values"":[6.3,3.3,4.7,1.6]}","{""vectorType"":""dense"",""length"":4,""values"":[7.160547305013608,7.929320173203225,2.658907728167762,2.0854006108329712]}","{""vectorType"":""dense"",""length"":3,""values"":[10.682209148580142,16.26182246532589,-26.94403161390602]}","{""vectorType"":""dense"",""length"":3,""values"":[0.0037598348794996815,0.9962401651205003,1.7151418127156051e-19]}",1
6.4,2.8,5.6,2.1,Iris-virginica,0,"{""vectorType"":""dense"",""length"":4,""values"":[6.4,2.8,5.6,2.1]}","{""vectorType"":""dense"",""length"":4,""values"":[7.274206786045571,6.7279080257481905,3.168060271859461,2.7370883017182743]}","{""vectorType"":""dense"",""length"":3,""values"":[66.42660950365797,54.944459123954914,-121.37106862761283]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9999896875710105,0.000010312428989588983,2.7574026884756624e-82]}",0
6.4,3.2,4.5,1.5,Iris-versicolor,1,"{""vectorType"":""dense"",""length"":4,""values"":[6.4,3.2,4.5,1.5]}","{""vectorType"":""dense"",""length"":4,""values"":[7.274206786045571,7.689037743712219,2.545762718458495,1.9550630726559102]}","{""vectorType"":""dense"",""length"":3,""values"":[10.087148218938324,18.337033420711723,-28.42418163965]}","{""vectorType"":""dense"",""length"":3,""values"":[0.0002612202971693611,0.9997387797028308,4.9175509790574725e-21]}",1
6.6,3,4.4,1.4,Iris-versicolor,1,"{""vectorType"":""dense"",""length"":4,""values"":[6.6,3,4.4,1.4]}","{""vectorType"":""dense"",""length"":4,""values"":[7.501525748109494,7.208472884730204,2.4891902136038624,1.8247255344788496]}","{""vectorType"":""dense"",""length"":3,""values"":[16.728703302813607,26.496981749580232,-43.22568505239384]}","{""vectorType"":""dense"",""length"":3,""values"":[0.00005723553083753264,0.9999427644691624,5.245727016949867e-31]}",1
6.7,2.5,5.8,1.8,Iris-virginica,0,"{""vectorType"":""dense"",""length"":4,""values"":[6.7,2.5,5.8,1.8]}","{""vectorType"":""dense"",""length"":4,""values"":[7.615185229141457,6.007060737275171,3.2812052815687274,2.3460756871870925]}","{""vectorType"":""dense"",""length"":3,""values"":[76.74131776417636,66.99316931654768,-143.73448708072405]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9999416007113363,0.00005839928866356699,1.7723488159376632e-96]}",0
6.7,3.1,4.7,1.5,Iris-versicolor,1,"{""vectorType"":""dense"",""length"":4,""values"":[6.7,3.1,4.7,1.5]}","{""vectorType"":""dense"",""length"":4,""values"":[7.615185229141457,7.448755314221212,2.658907728167762,1.9550630726559102]}","{""vectorType"":""dense"",""length"":3,""values"":[20.31610773129377,27.04063094770895,-47.35673867900269]}","{""vectorType"":""dense"",""length"":3,""values"":[0.001199652210493247,0.9988003477895068,4.887779301289736e-33]}",1
6.7,3.1,5.6,2.4,Iris-virginica,0,"{""vectorType"":""dense"",""length"":4,""values"":[6.7,3.1,5.6,2.4]}","{""vectorType"":""dense"",""length"":4,""values"":[7.615185229141457,7.448755314221212,3.168060271859461,3.128100916249456]}","{""vectorType"":""dense"",""length"":3,""values"":[63.576445358474295,50.024444726101294,-113.60089008457557]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9999986985114809,0.0000013014885190628633,1.129432637585564e-77]}",0
6.7,3.3,5.7,2.5,Iris-virginica,0,"{""vectorType"":""dense"",""length"":4,""values"":[6.7,3.3,5.7,2.5]}","{""vectorType"":""dense"",""length"":4,""values"":[7.615185229141457,7.929320173203225,3.2246327767140945,3.2584384544265173]}","{""vectorType"":""dense"",""length"":3,""values"":[58.41474739225706,43.755471884942914,-102.17021927719995]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9999995699119739,4.300880260770695e-7,1.8148256636863953e-70]}",0
6.8,3.2,5.9,2.3,Iris-virginica,0,"{""vectorType"":""dense"",""length"":4,""values"":[6.8,3.2,5.9,2.3]}","{""vectorType"":""dense"",""length"":4,""values"":[7.728844710173418,7.689037743712219,3.337777786423361,2.9977633780723956]}","{""vectorType"":""dense"",""length"":3,""values"":[60.57541418771972,46.91634908286276,-107.49176327058242]}","{""vectorType"":""dense"",""length"":3,""values"":[0.999998830654391,0.0000011693456089646075,1.0217666724953026e-73]}",0
